label,ID,timestamp,jour,heure,datetime
casquette,59,1510212494,2017-11-09,08:28:14,"2017-11-09 08:28:14"
casquette,60,1510216758,2017-11-09,09:39:18,"2017-11-09 09:39:18"
casquette,61,1510221243,2017-11-09,10:54:03,"2017-11-09 10:54:03"
porte-clé,62,1510225630,2017-11-09,12:07:10,"2017-11-09 12:07:10"
casquette,63,1510230102,2017-11-09,13:21:42,"2017-11-09 13:21:42"
casquette,64,1510234493,2017-11-09,14:34:53,"2017-11-09 14:34:53"
casquette,65,1510238928,2017-11-09,15:48:48,"2017-11-09 15:48:48"
casquette,66,1510243538,2017-11-09,17:05:38,"2017-11-09 17:05:38"
safari,67,1510248013,2017-11-09,18:20:13,"2017-11-09 18:20:13"
casquette,68,1510252297,2017-11-09,19:31:37,"2017-11-09 19:31:37"
casquette,69,1510256677,2017-11-09,20:44:37,"2017-11-09 20:44:37"
casquette,70,1510260998,2017-11-09,21:56:38,"2017-11-09 21:56:38"
casquette,71,1510265462,2017-11-09,23:11:02,"2017-11-09 23:11:02"
casquette,72,1510269751,2017-11-10,00:22:31,"2017-11-10 00:22:31"
porte-clé,73,1510274237,2017-11-10,01:37:17,"2017-11-10 01:37:17"
casquette,74,1510278463,2017-11-10,02:47:43,"2017-11-10 02:47:43"
casquette,75,1510282950,2017-11-10,04:02:30,"2017-11-10 04:02:30"
casquette,76,1510287461,2017-11-10,05:17:41,"2017-11-10 05:17:41"
casquette,77,1510292138,2017-11-10,06:35:38,"2017-11-10 06:35:38"
casquette,78,1510296448,2017-11-10,07:47:28,"2017-11-10 07:47:28"
casquette,79,1510300795,2017-11-10,08:59:55,"2017-11-10 08:59:55"
casquette,80,1510305129,2017-11-10,10:12:09,"2017-11-10 10:12:09"
casquette,81,1510309767,2017-11-10,11:29:27,"2017-11-10 11:29:27"
casquette,82,1510314086,2017-11-10,12:41:26,"2017-11-10 12:41:26"
porte-clé,83,1510318657,2017-11-10,13:57:37,"2017-11-10 13:57:37"
casquette,84,1510323001,2017-11-10,15:10:01,"2017-11-10 15:10:01"
casquette,85,1510327295,2017-11-10,16:21:35,"2017-11-10 16:21:35"
casquette,86,1510331531,2017-11-10,17:32:11,"2017-11-10 17:32:11"
casquette,87,1510336013,2017-11-10,18:46:53,"2017-11-10 18:46:53"
casquette,88,1510340418,2017-11-10,20:00:18,"2017-11-10 20:00:18"
porte-clé,89,1510344709,2017-11-10,21:11:49,"2017-11-10 21:11:49"
casquette,90,1510348996,2017-11-10,22:23:16,"2017-11-10 22:23:16"
casquette,91,1510353602,2017-11-10,23:40:02,"2017-11-10 23:40:02"
casquette,92,1510358226,2017-11-11,00:57:06,"2017-11-11 00:57:06"
porte-clé,93,1510362780,2017-11-11,02:13:00,"2017-11-11 02:13:00"
casquette,94,1510367238,2017-11-11,03:27:18,"2017-11-11 03:27:18"
porte-clé,95,1510371505,2017-11-11,04:38:25,"2017-11-11 04:38:25"
porte-clé,96,1510375888,2017-11-11,05:51:28,"2017-11-11 05:51:28"
casquette,97,1510380174,2017-11-11,07:02:54,"2017-11-11 07:02:54"
casquette,98,1510384667,2017-11-11,08:17:47,"2017-11-11 08:17:47"
casquette,99,1510389139,2017-11-11,09:32:19,"2017-11-11 09:32:19"
casquette,100,1510393408,2017-11-11,10:43:28,"2017-11-11 10:43:28"
casquette,101,1510397782,2017-11-11,11:56:22,"2017-11-11 11:56:22"
casquette,102,1510402158,2017-11-11,13:09:18,"2017-11-11 13:09:18"
porte-clé,103,1510406703,2017-11-11,14:25:03,"2017-11-11 14:25:03"
casquette,104,1510411330,2017-11-11,15:42:10,"2017-11-11 15:42:10"
casquette,105,1510415832,2017-11-11,16:57:12,"2017-11-11 16:57:12"
casquette,106,1510420166,2017-11-11,18:09:26,"2017-11-11 18:09:26"
casquette,107,1510424696,2017-11-11,19:24:56,"2017-11-11 19:24:56"
porte-clé,108,1510429297,2017-11-11,20:41:37,"2017-11-11 20:41:37"
safari,109,1510433893,2017-11-11,21:58:13,"2017-11-11 21:58:13"
casquette,110,1510438244,2017-11-11,23:10:44,"2017-11-11 23:10:44"
casquette,111,1510442476,2017-11-12,00:21:16,"2017-11-12 00:21:16"
casquette,112,1510447013,2017-11-12,01:36:53,"2017-11-12 01:36:53"
casquette,113,1510451352,2017-11-12,02:49:12,"2017-11-12 02:49:12"
porte-clé,114,1510456005,2017-11-12,04:06:45,"2017-11-12 04:06:45"
casquette,115,1510460664,2017-11-12,05:24:24,"2017-11-12 05:24:24"
porte-clé,116,1510465203,2017-11-12,06:40:03,"2017-11-12 06:40:03"
casquette,117,1510469822,2017-11-12,07:57:02,"2017-11-12 07:57:02"
casquette,118,1510474084,2017-11-12,09:08:04,"2017-11-12 09:08:04"
casquette,119,1510478737,2017-11-12,10:25:37,"2017-11-12 10:25:37"
porte-clé,120,1510483210,2017-11-12,11:40:10,"2017-11-12 11:40:10"
casquette,121,1510487848,2017-11-12,12:57:28,"2017-11-12 12:57:28"
casquette,122,1510492214,2017-11-12,14:10:14,"2017-11-12 14:10:14"
casquette,123,1510500215,2017-11-12,16:23:35,"2017-11-12 16:23:35"
